Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate,InitialHit%,AvgGaze%

--- New Session: 7/2/2025 2:42:23 PM ---
22.3102,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.10 6.37 19.97,12.11 6.32 19.97,0.3615,19.2425,198,216,0.92,82.6,72.3
27.3214,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.97 1.41 19.98,12.01 1.49 19.97,0.3556,18.7606,192,225,0.85,87.4,71.1
32.3327,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.60 4.04 20.00,9.67 4.06 19.98,0.4355,18.7708,120,214,0.56,97.7,87.1
37.3438,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.75 6.33 19.99,9.80 6.36 19.99,0.4685,19.1280,23,217,0.11,96.3,93.7
42.3552,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,226,0.00,null,null
47.3667,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.64 1.62 19.98,7.60 1.70 19.98,0.4499,18.7579,8,215,0.04,88.1,90.0
52.3778,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.67 1.77 19.97,9.66 1.67 19.98,0.4249,18.6454,127,214,0.59,78.4,85.0
57.3886,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.99 3.89 19.95,12.04 3.80 19.96,0.1865,18.8928,215,215,1.00,36.1,37.3
62.3995,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.62 3.62 19.98,7.58 3.67 19.99,0.4806,18.8803,5,218,0.02,93.7,96.1

--- New Session: 7/2/2025 2:43:15 PM ---
73.0188,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,11.91 6.37 19.99,12.01 6.25 19.97,0.3300,19.2108,122,212,0.58,94.8,66.0
78.0304,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.77 1.89 19.97,11.89 1.96 19.96,0.3153,18.7305,215,213,1.01,79.9,63.1
83.0416,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.58 3.96 20.00,9.57 3.96 20.00,0.4967,18.7379,1,213,0.00,98.8,99.3
88.0514,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.68 6.22 19.98,9.77 6.28 19.98,0.4315,19.0941,128,223,0.57,92.5,86.3
93.0636,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,212,0.00,null,null
98.0763,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,201,0.00,null,null
103.0877,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.58 1.79 19.99,9.60 1.77 19.99,0.4625,18.6081,6,200,0.03,97.0,92.5
108.0976,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.22 3.87 19.95,12.20 4.13 19.96,0.2137,18.8554,215,226,0.95,19.3,42.7
113.1093,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,211,0.00,null,null

--- New Session: 7/2/2025 2:44:06 PM ---
123.2398,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
128.2515,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.96 1.85 19.96,11.98 1.94 19.96,0.2278,18.7194,215,216,1.00,41.4,45.6
133.2634,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,204,0.00,null,null
138.2738,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,240,0.00,null,null
143.2853,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,214,0.00,null,null
148.2970,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,211,0.00,null,null
153.3066,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.63 1.77 19.98,9.64 1.91 19.98,0.4277,18.6052,142,225,0.63,86.3,85.5
158.3179,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.92 4.33 19.99,11.94 4.30 19.98,0.4324,18.8536,91,204,0.45,94.5,86.5
163.3291,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,214,0.00,null,null

--- New Session: 7/2/2025 2:45:04 PM ---
178.4693,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,212,0.00,null,null
183.4800,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.92 1.65 19.96,11.92 1.69 19.96,0.2743,18.7243,215,221,0.97,58.2,54.9
188.4916,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,214,0.00,null,null
193.5027,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
198.5139,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,223,0.00,null,null
203.5253,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
208.5350,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.75 1.66 19.97,9.65 1.76 19.98,0.4170,18.6079,140,218,0.64,69.9,83.4
213.5486,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.25 4.35 19.98,12.18 4.18 19.96,0.2595,18.8560,208,210,0.99,87.4,51.9
218.5589,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,214,0.00,null,null

--- New Session: 7/2/2025 2:50:22 PM ---
14.9369,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.72 1.72 19.98,11.77 1.72 19.97,0.4047,24.4304,191,220,0.87,89.6,80.9
19.9491,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
24.9613,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,236,0.00,null,null
29.9731,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.82 4.24 19.98,11.91 4.29 19.98,0.4339,24.5298,92,218,0.42,92.2,86.8
34.9853,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,220,0.00,null,null
39.9972,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
45.0095,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
50.0202,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
55.0339,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.63 1.75 19.98,9.67 1.77 19.97,0.3913,24.3375,80,215,0.37,87.2,78.3

--- New Session: 7/2/2025 2:51:13 PM ---
64.6788,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,11.77 2.10 20.00,11.75 1.98 19.98,0.4440,24.4393,18,218,0.08,98.2,88.8
69.6909,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,222,0.00,null,null
74.7030,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
79.7164,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.71 4.10 20.00,11.77 4.07 19.98,0.4161,24.5400,144,217,0.66,97.3,83.2
84.7264,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00,null,null
89.7389,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,219,0.00,null,null
94.7515,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.73 4.19 19.98,9.72 4.19 19.99,0.4740,24.4364,17,214,0.08,92.7,94.8
