Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate,InitialHit%,AvgGaze%

--- New Session: 7/2/2025 3:08:54 PM ---
38.1434,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,219,0.00,null,null
43.1556,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
48.1680,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,212,0.00,null,null
53.1797,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,224,0.00,null,null
58.1917,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00,null,null
63.2041,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
68.2165,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
73.2275,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
78.2393,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null

--- New Session: 7/2/2025 3:09:45 PM ---
87.5772,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
92.5902,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,221,0.00,null,null
97.6026,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
102.6136,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,213,0.00,null,null
107.6253,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
112.6375,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.72 4.15 20.00,11.72 4.10 19.99,0.4730,29.6416,4,213,0.02,97.7,94.6
117.6500,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
122.6618,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
127.6743,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,213,0.00,null,null

--- New Session: 7/2/2025 3:10:37 PM ---
136.4984,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,247,0.00,null,null
141.5108,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00,null,null
146.5227,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,231,0.00,null,null
151.5346,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00,null,null
156.5467,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,221,0.00,null,null
161.5585,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,11.69 4.03 19.99,11.70 4.03 19.99,0.4754,29.6404,4,213,0.02,97.1,95.1
166.5706,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,221,0.00,null,null
171.5830,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
176.5947,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,212,0.00,null,null

--- New Session: 7/2/2025 3:13:27 PM ---
15.3973,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,222,0.00,null,null
20.4099,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
25.4213,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,227,0.00,null,null
30.4329,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,217,0.00,null,null
35.4455,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,null,null,null,null,0,231,0.00,null,null
40.4576,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00,null,null
45.4702,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,213,0.00,null,null
50.4815,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,216,0.00,null,null
55.4939,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null

--- New Session: 7/2/2025 3:15:40 PM ---
14.9666,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.75 1.53 19.97,7.79 1.49 19.97,0.4111,5.4812,215,214,1.00,81.8,82.2
19.9786,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.65 3.92 19.97,7.67 3.91 19.97,0.3713,5.8830,215,219,0.98,78.1,74.3
24.9967,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,185,0.00,null,null
30.0169,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.72 6.20 19.97,7.67 6.19 19.98,0.4270,6.9390,208,215,0.97,78.9,85.4
35.0282,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.22 4.02 19.95,12.28 4.02 19.95,0.1512,6.0283,214,214,1.00,24.5,30.2
40.0406,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,10.01 6.44 19.99,10.01 6.42 19.98,0.4641,6.6741,4,216,0.02,95.4,92.8
45.0527,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.16 1.66 19.95,12.17 1.66 19.95,0.1594,5.6002,215,219,0.98,31.8,31.9
50.0652,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.93 1.63 19.96,9.97 1.62 19.96,0.2150,5.1360,215,216,1.00,45.6,43.0
55.0770,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.93 3.97 19.95,9.94 3.97 19.95,0.1680,5.5716,215,216,1.00,34.8,33.6

--- New Session: 7/2/2025 3:16:31 PM ---
64.1036,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.71 1.60 19.97,7.71 1.59 19.97,0.3921,5.4663,213,84,2.54,79.4,78.4
