Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate,InitialHit%,AvgGaze%

--- New Session: 7/2/2025 2:24:16 PM ---
23.4995,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.68 6.27 20.00,9.74 6.28 19.98,0.4497,10.3213,120,216,0.56,97.9,89.9
28.5126,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.60 1.59 19.99,7.60 1.61 19.99,0.4760,9.5600,36,209,0.17,98.0,95.2
33.5241,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.18 1.68 19.95,12.17 1.63 19.95,0.1802,9.6151,215,216,1.00,27.4,36.0
38.5357,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.61 3.83 19.97,7.79 3.63 19.97,0.3270,9.8152,148,216,0.69,84.2,65.4
43.5493,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.83 3.79 19.96,9.87 3.86 19.96,0.1959,9.6299,215,195,1.10,49.8,39.2
48.5594,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.69 1.77 19.97,9.73 1.80 19.96,0.3326,9.3532,215,213,1.01,73.9,66.5
53.5717,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.60 5.92 19.98,7.59 5.91 19.98,0.4471,10.5074,184,211,0.87,85.8,89.4
58.5840,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.00 6.19 19.96,12.05 6.14 19.96,0.2161,10.5591,210,214,0.98,55.3,43.2
63.5963,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.16 3.85 19.95,12.06 3.96 19.95,0.1174,9.8918,202,213,0.95,19.2,23.5

--- New Session: 7/2/2025 2:27:57 PM ---
9.5281,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.85 6.39 19.99,9.90 6.38 19.98,0.4503,9.9324,90,214,0.42,96.0,90.1
14.5396,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.75 6.21 19.97,7.71 6.12 19.97,0.3574,10.1217,214,216,0.99,75.3,71.5
19.5546,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.14 1.55 19.96,12.11 1.51 19.96,0.3003,9.2350,215,221,0.97,51.6,60.1
24.5636,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.92 4.04 19.96,9.94 4.02 19.95,0.1989,9.2293,213,215,0.99,45.4,39.8
29.5772,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.17 6.31 19.97,12.16 6.39 19.98,0.4241,10.1665,126,216,0.58,68.8,84.8
34.5889,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.56 3.96 19.99,7.58 3.95 19.99,0.4654,9.4290,180,218,0.83,96.3,93.1
39.6007,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.63 1.56 19.99,7.66 1.68 19.97,0.3980,9.1840,211,217,0.97,96.6,79.6
44.6126,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.24 4.19 19.96,12.21 4.09 19.95,0.1723,9.4947,215,222,0.97,55.9,34.5
49.6249,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.91 1.69 19.96,9.88 1.74 19.96,0.1958,8.9707,215,217,0.99,40.4,39.2

--- New Session: 7/2/2025 2:28:49 PM ---
60.7879,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.94 6.35 19.97,9.98 6.37 19.98,0.4139,9.9083,143,210,0.68,81.0,82.8
65.7999,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.64 6.26 20.00,7.63 6.22 19.99,0.4763,10.1058,60,213,0.28,99.0,95.3
70.8119,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.10 1.44 19.97,12.12 1.59 19.96,0.2246,9.2065,215,211,1.02,75.8,44.9
75.8235,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.94 3.86 19.95,9.96 3.85 19.95,0.1165,9.2037,215,217,0.99,26.7,23.3
80.8359,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.25 6.23 19.96,12.25 6.24 19.96,0.2924,10.1347,215,216,1.00,57.1,58.5
85.8480,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.71 3.87 19.96,7.70 3.82 19.96,0.3374,9.4105,215,209,1.03,65.4,67.5
90.8598,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.57 1.77 19.98,7.66 1.76 19.97,0.3755,9.1667,215,210,1.02,93.1,75.1
95.8721,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.29 3.87 19.95,12.27 3.95 19.95,0.1241,9.4629,215,212,1.01,30.0,24.8
100.8844,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.86 1.67 19.96,9.90 1.63 19.96,0.2431,8.9484,215,209,1.03,51.1,48.6

--- New Session: 7/2/2025 2:29:41 PM ---
111.0428,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.93 6.18 19.96,9.96 6.32 19.97,0.3680,9.9161,203,219,0.93,51.5,73.6
116.0550,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.76 6.11 19.96,7.72 6.12 19.97,0.3455,10.1109,214,227,0.94,61.7,69.1
121.0671,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.16 1.36 19.98,12.14 1.55 19.96,0.2665,9.2150,215,223,0.96,90.6,53.3
126.0791,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.93 3.76 19.95,9.94 3.82 19.95,0.1340,9.2116,215,217,0.99,34.9,26.8
131.0910,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.25 6.13 19.96,12.25 6.09 19.95,0.1610,10.1434,215,217,0.99,38.4,32.2
136.1028,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.63 3.82 19.97,7.61 3.87 19.97,0.4181,9.4147,215,216,1.00,81.3,83.6
141.1151,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.67 1.67 19.97,7.68 1.72 19.97,0.3610,9.1701,215,220,0.98,78.8,72.2
146.1272,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.14 3.89 19.95,12.17 3.88 19.95,0.0690,9.4712,215,218,0.99,13.5,13.8
151.1393,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,10.05 1.65 19.95,9.95 1.60 19.96,0.2478,8.9532,215,217,0.99,34.8,49.6

--- New Session: 7/2/2025 2:33:43 PM ---
29.0306,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,11.93 6.16 19.96,11.87 6.20 19.97,0.3727,14.7781,23,24,0.96,60.8,74.5
34.1590,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.66 3.85 19.97,9.70 3.90 19.97,0.3661,14.1422,23,21,1.10,80.4,73.2
